date,Unemployment,no.articles_Unemployment,Mental_health,no.articles_Mental_health,Wellbeing
2018-07-31,-2.3439750235062267,363,-1.860920971530972,6705,-1.9005152947889248
2018-08-31,-2.017924023757668,613,-2.8947688736110666,8206,-2.995298909243332
2018-09-30,-1.9179658124540435,552,-2.46524923798552,6995,-2.824271997330717
2018-10-31,-1.6776434135410785,754,-2.341508756657833,6559,-2.515892199968797
2018-11-30,-1.363329130741316,874,-2.2844639577901686,6965,-2.4472955195898045
2018-12-31,-2.012333981341633,597,-2.525870522135264,7168,-2.6869140492575165
2019-01-31,-1.593505649894712,665,-2.8111118171335576,5876,-3.056365893654412
2019-02-28,-1.1783011212890475,594,-1.8110059594857584,5430,-2.2122707282387406
2019-03-31,-1.3792871413259726,892,-2.5445436987422383,8260,-2.886766537877696
2019-04-30,-0.3883607653939503,842,-2.9503815894029866,7182,-3.141923830953191
2019-05-31,-0.1591770499496595,1092,-1.6236108095048682,7006,-1.7791571797465446
2019-06-30,-0.7969362120557846,721,-2.395495165132775,7171,-2.5984126176793048
2019-07-31,-1.9940652775769008,783,-2.604337461501203,6823,-3.02806851934467
2019-08-31,-0.8289192466764191,643,-2.143619166965088,8318,-2.240655629799587
2019-09-30,-0.4399324316522201,861,-2.1637338510267887,6214,-2.247727740462129
2019-10-31,-2.266629319355882,544,-3.054574718840229,7248,-3.2506290763597026
2019-11-30,-1.042142726483805,904,-2.535786565427544,8886,-2.7955115986921144
2019-12-31,-1.05471350691046,927,-1.9089713998090108,8873,-2.023411263263011
2020-01-31,-0.5669048862931856,666,-2.265235071433543,8908,-2.3914143914716712
2020-02-29,0.919077512153992,612,-2.610766476075564,12850,-2.756080314226204
2020-03-31,-2.2615494818606625,757,-1.865794783234726,22496,-1.9582593695109625
2020-04-30,-2.5283070030784778,1825,-1.4877281709030858,30476,-1.506488216299403
2020-05-31,-2.579490238210839,1725,-1.682687848849575,19331,-1.7858143819597472
2020-06-30,-1.89275921225185,1959,-2.316511097920185,17381,-2.4486379301222523
2020-07-31,-1.729481128059561,1875,-1.7346890082671955,12650,-1.807833645477269
2020-08-31,-2.613060572795961,1679,-2.1441664680221737,13179,-2.272773068751429
2020-09-30,-1.407506916633208,1790,-2.394080298966716,13847,-2.5552951824555765
2020-10-31,-2.4249567106445995,810,-2.016811437023684,8030,-2.117411573113632
2020-11-30,-1.6624636931580743,1361,-1.4343753848311327,8294,-1.5043787636221415
2020-12-31,-1.4403258561591576,839,-1.471438523060569,17270,-1.5102983695123362
2021-01-31,-1.8896915052834649,1511,-2.177380839108612,21325,-2.1886421224613315
2021-02-28,-1.7631003240305327,1538,-1.4654543536725355,18753,-1.553642454773084
2021-03-31,-1.1127625625480064,1217,-1.6995747458788544,17526,-1.927227298824288
2021-04-30,-1.6069463475106798,1077,-1.7367096415755796,13184,-1.9069950210190405
2021-05-31,-0.7290631512211301,576,-1.2556041917437164,8481,-1.3259484354169058
